[04:07:01] [INFO] Loaded 45 subdomains, 52 directories, 96 parameters
[04:07:01] [INFO] Initialized 9 attack patterns
[04:07:01] [INFO] ╔══════════════════════════════════════════════════════════════════╗
[04:07:01] [INFO] ║  🚀 VANGUARD SECURITY SCANNER v2.0 - ENTERPRISE EDITION           ║
[04:07:01] [INFO] ║  🔍 COMPREHENSIVE VULNERABILITY ASSESSMENT PLATFORM              ║
[04:07:01] [INFO] ║  ⚡ MAX CONCURRENT REQUESTS: 30                                ║
[04:07:01] [INFO] ║  🎯 CONFIDENCE THRESHOLD: 75%                                 ║
[04:07:01] [INFO] ╚══════════════════════════════════════════════════════════════════╝
[04:07:29] [INFO] ╔══════════════════════════════════════════════════════════════════╗
[04:07:29] [INFO] ║  🚀 VANGUARD SCAN INITIATED: https://le.ac.uk/                            ║
[04:07:29] [INFO] ║  📊 MAX CRAWL DEPTH: 10                                           ║
[04:07:29] [INFO] ║  ⚡ MAX CONCURRENT: 30                                          ║
[04:07:29] [INFO] ╚══════════════════════════════════════════════════════════════════╝
[04:07:29] [PHASE: Reconnaissance] Starting reconnaissance phase
[04:07:29] [INFO] Enumerating subdomains...
[04:07:34] [DEBUG] Found subdomain: shop.le.ac.uk (HTTP)
[04:07:35] [DEBUG] Found subdomain: shop.le.ac.uk (HTTPS)
[04:07:35] [DEBUG] Found subdomain: www.le.ac.uk (HTTP)
[04:07:35] [DEBUG] Found subdomain: www.le.ac.uk (HTTPS)
[04:07:37] [DEBUG] Found subdomain: webmail.le.ac.uk (HTTP)
[04:07:39] [DEBUG] Found subdomain: webmail.le.ac.uk (HTTPS)
[04:07:51] [INFO] Discovered 6 subdomains
[04:07:51] [INFO] Performing port scan...
[04:07:52] [DEBUG] Open port: le.ac.uk:80
[04:08:13] [DEBUG] Open port: le.ac.uk:443
[04:08:55] [INFO] Found 2 open ports
[04:08:55] [INFO] Detecting technologies...
[04:08:56] [INFO] Technologies detected: React, ASP.NET, Java, Vue.js, Angular
[04:08:56] [INFO] Brute forcing directories...
[04:08:58] [DEBUG] Found directory: https://le.ac.uk/media (OK)
[04:08:59] [DEBUG] Found directory: https://le.ac.uk/modules (OK)
[04:08:59] [DEBUG] Found directory: https://le.ac.uk/library (OK)
[04:08:59] [INFO] Discovered 3 directories
[04:08:59] [SUCCESS] Reconnaissance complete. Found 9 initial targets
[04:08:59] [PHASE: Discovery] Starting discovery phase
[04:09:00] [INFO] Discovered 0 API endpoints
[04:09:03] [DEBUG] Found sitemap: https://le.ac.uk/sitemap.xml
[04:09:05] [DEBUG] Found robots.txt: https://le.ac.uk/robots.txt
[04:09:08] [INFO] Discovered 0 common files
[04:09:08] [SUCCESS] Discovery complete. Total targets: 14
[04:09:08] [PHASE: Crawling] Starting crawling phase
[04:09:08] [DEBUG] Extracted 0 URLs from https://le.ac.uk/robots.txt
[04:09:08] [DEBUG] Extracted 1251 URLs from https://le.ac.uk/modules
[04:09:08] [DEBUG] Extracted 26 URLs from https://le.ac.uk/tagmanagertest
[04:09:08] [DEBUG] Extracted 26 URLs from https://le.ac.uk/regression-testing-area
[04:09:08] [DEBUG] Extracted 1328 URLs from https://le.ac.uk/media
[04:09:08] [DEBUG] Extracted 101 URLs from http://webmail.le.ac.uk
[04:09:09] [DEBUG] Extracted 101 URLs from https://webmail.le.ac.uk
[04:09:09] [DEBUG] Extracted 1 URLs from https://le.ac.uk/sitemap.xml
[04:09:09] [DEBUG] Extracted intelligence from https://shop.le.ac.uk: 2 emails, 0 phones, 0 secrets
[04:09:09] [DEBUG] Extracted 433 URLs from https://shop.le.ac.uk
[04:09:09] [DEBUG] Extracted 1443 URLs from https://www.le.ac.uk
[04:09:09] [DEBUG] Extracted intelligence from http://shop.le.ac.uk: 2 emails, 0 phones, 0 secrets
[04:09:09] [DEBUG] Extracted 433 URLs from http://shop.le.ac.uk
[04:09:09] [DEBUG] Extracted 1378 URLs from https://le.ac.uk/library
[04:09:09] [DEBUG] Extracted 1 URLs from https://le.ac.uk/website.xml
[04:09:09] [DEBUG] Extracted 1443 URLs from http://www.le.ac.uk
[04:09:09] [INFO] Extracting new URLs from crawled pages...
[04:09:09] [DEBUG] Extracted 26 URLs from https://le.ac.uk/tagmanagertest
[04:09:09] [DEBUG] Extracted 101 URLs from https://webmail.le.ac.uk
[04:09:09] [DEBUG] Extracted 433 URLs from http://shop.le.ac.uk
[04:09:09] [DEBUG] Extracted 0 URLs from https://le.ac.uk/robots.txt
[04:09:09] [DEBUG] Extracted 433 URLs from https://shop.le.ac.uk
[04:09:09] [DEBUG] Extracted 26 URLs from https://le.ac.uk/regression-testing-area
[04:09:09] [DEBUG] Extracted 101 URLs from http://webmail.le.ac.uk
[04:09:09] [DEBUG] Extracted 1378 URLs from https://le.ac.uk/library
[04:09:09] [DEBUG] Extracted 1251 URLs from https://le.ac.uk/modules
[04:09:09] [DEBUG] Extracted 1443 URLs from http://www.le.ac.uk
[04:09:09] [DEBUG] Extracted 1443 URLs from https://www.le.ac.uk
[04:09:09] [DEBUG] Extracted 1328 URLs from https://le.ac.uk/media
[04:09:09] [DEBUG] Extracted 1 URLs from https://le.ac.uk/website.xml
[04:09:09] [DEBUG] Extracted 1 URLs from https://le.ac.uk/sitemap.xml
[04:09:09] [INFO] Extracted 0 new URLs
[04:09:09] [SUCCESS] Crawling complete. Crawled 14 pages
[04:09:09] [PHASE: ParameterEnumeration] Starting parameter enumeration
[04:09:10] [DEBUG] Discovered parameter: id on https://le.ac.uk/robots.txt
[04:09:10] [DEBUG] Discovered parameter: id on https://webmail.le.ac.uk
[04:09:10] [DEBUG] Discovered parameter: user on https://le.ac.uk/robots.txt
[04:09:10] [DEBUG] Discovered parameter: id on http://webmail.le.ac.uk
[04:09:10] [DEBUG] Discovered parameter: username on https://le.ac.uk/robots.txt
[04:09:10] [DEBUG] Discovered parameter: user on https://le.ac.uk/library
[04:09:10] [DEBUG] Discovered parameter: id on https://le.ac.uk/sitemap.xml
[04:09:10] [DEBUG] Discovered parameter: user on https://webmail.le.ac.uk
[04:09:10] [DEBUG] Discovered parameter: password on https://le.ac.uk/robots.txt
[04:09:10] [DEBUG] Discovered parameter: user on https://shop.le.ac.uk
[04:09:10] [DEBUG] Discovered parameter: email on https://le.ac.uk/robots.txt
[04:09:10] [DEBUG] Discovered parameter: user on http://webmail.le.ac.uk
[04:09:10] [DEBUG] Discovered parameter: user on http://www.le.ac.uk
[04:09:10] [DEBUG] Discovered parameter: username on https://webmail.le.ac.uk
[04:09:10] [DEBUG] Discovered parameter: user on https://le.ac.uk/sitemap.xml
[04:09:10] [DEBUG] Discovered parameter: mail on https://le.ac.uk/robots.txt
[04:09:10] [DEBUG] Discovered parameter: user on http://shop.le.ac.uk
[04:09:10] [DEBUG] Discovered parameter: username on https://le.ac.uk/sitemap.xml
[04:09:10] [DEBUG] Discovered parameter: phone on https://le.ac.uk/robots.txt
[04:09:10] [DEBUG] Discovered parameter: user on https://le.ac.uk/modules
[04:09:10] [DEBUG] Discovered parameter: password on https://webmail.le.ac.uk
[04:09:11] [DEBUG] Discovered parameter: username on http://webmail.le.ac.uk
[04:09:11] [DEBUG] Discovered parameter: id on https://le.ac.uk/website.xml
[04:09:11] [DEBUG] Discovered parameter: mobile on https://le.ac.uk/robots.txt
[04:09:11] [DEBUG] Discovered parameter: password on https://le.ac.uk/sitemap.xml
[04:09:11] [DEBUG] Discovered parameter: username on https://shop.le.ac.uk
[04:09:11] [DEBUG] Discovered parameter: name on https://le.ac.uk/robots.txt
[04:09:11] [DEBUG] Discovered parameter: user on https://www.le.ac.uk
[04:09:11] [DEBUG] Discovered parameter: email on https://webmail.le.ac.uk
[04:09:11] [DEBUG] Discovered parameter: email on https://le.ac.uk/sitemap.xml
[04:09:11] [DEBUG] Discovered parameter: firstname on https://le.ac.uk/robots.txt
[04:09:11] [DEBUG] Discovered parameter: username on https://le.ac.uk/modules
[04:09:11] [DEBUG] Discovered parameter: password on http://webmail.le.ac.uk
[04:09:11] [DEBUG] Discovered parameter: mail on https://le.ac.uk/sitemap.xml
[04:09:11] [DEBUG] Discovered parameter: lastname on https://le.ac.uk/robots.txt
[04:09:11] [DEBUG] Discovered parameter: mail on https://webmail.le.ac.uk
[04:09:11] [DEBUG] Discovered parameter: address on https://le.ac.uk/robots.txt
[04:09:11] [DEBUG] Discovered parameter: username on http://shop.le.ac.uk
[04:09:11] [DEBUG] Discovered parameter: city on https://le.ac.uk/robots.txt
[04:09:11] [DEBUG] Discovered parameter: password on https://le.ac.uk/modules
[04:09:11] [DEBUG] Discovered parameter: user on https://le.ac.uk/media
[04:09:11] [DEBUG] Discovered parameter: phone on https://webmail.le.ac.uk
[04:09:11] [DEBUG] Discovered parameter: phone on https://le.ac.uk/sitemap.xml
[04:09:11] [DEBUG] Discovered parameter: password on https://shop.le.ac.uk
[04:09:11] [DEBUG] Discovered parameter: email on http://webmail.le.ac.uk
[04:09:11] [DEBUG] Discovered parameter: state on https://le.ac.uk/robots.txt
[04:09:11] [DEBUG] Discovered parameter: mobile on https://le.ac.uk/sitemap.xml
[04:09:11] [DEBUG] Discovered parameter: zip on https://le.ac.uk/robots.txt
[04:09:11] [DEBUG] Discovered parameter: user on https://le.ac.uk/website.xml
[04:09:11] [DEBUG] Discovered parameter: email on https://le.ac.uk/modules
[04:09:11] [DEBUG] Discovered parameter: mobile on https://webmail.le.ac.uk
[04:09:11] [DEBUG] Discovered parameter: name on https://le.ac.uk/sitemap.xml
[04:09:12] [DEBUG] Discovered parameter: mail on http://webmail.le.ac.uk
[04:09:12] [DEBUG] Discovered parameter: country on https://le.ac.uk/robots.txt
[04:09:12] [DEBUG] Discovered parameter: name on https://webmail.le.ac.uk
[04:09:12] [DEBUG] Discovered parameter: firstname on https://le.ac.uk/sitemap.xml
[04:09:12] [DEBUG] Discovered parameter: token on https://le.ac.uk/robots.txt
[04:09:12] [DEBUG] Discovered parameter: username on https://www.le.ac.uk
[04:09:12] [DEBUG] Discovered parameter: email on https://shop.le.ac.uk
[04:09:12] [DEBUG] Discovered parameter: username on http://www.le.ac.uk
[04:09:12] [DEBUG] Discovered parameter: auth on https://le.ac.uk/robots.txt
[04:09:12] [DEBUG] Discovered parameter: lastname on https://le.ac.uk/sitemap.xml
[04:09:12] [DEBUG] Discovered parameter: phone on http://webmail.le.ac.uk
[04:09:12] [DEBUG] Discovered parameter: firstname on https://webmail.le.ac.uk
[04:09:12] [DEBUG] Discovered parameter: password on http://shop.le.ac.uk
[04:09:12] [DEBUG] Discovered parameter: session on https://le.ac.uk/robots.txt
[04:09:12] [DEBUG] Discovered parameter: username on https://le.ac.uk/website.xml
[04:09:12] [DEBUG] Discovered parameter: address on https://le.ac.uk/sitemap.xml
[04:09:12] [DEBUG] Discovered parameter: username on https://le.ac.uk/media
